Temperature: 32.601125000000025, Rtemp: 22.8, Depth: 61.86
Temperature: 33.31, Rtemp: 22.6, Depth: 76.3
Temperature: 33.30186328125001, Rtemp: 22.6, Depth: 76.06
Temperature: 33.33850000000001, Rtemp: 22.6, Depth: 76.14
Temperature: 33.34000000000003, Rtemp: 22.6, Depth: 76.16
Temperature: 33.33150000000006, Rtemp: 22.6, Depth: 76.03999999999999
Temperature: 33.366375000000005, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 33.42085937500002, Rtemp: 22.6, Depth: 75.92
Temperature: 33.450921875000006, Rtemp: 22.6, Depth: 76.32000000000001
Temperature: 33.47172656250001, Rtemp: 22.6, Depth: 76.6
Temperature: 33.47525000000002, Rtemp: 22.6, Depth: 76.3
Temperature: 33.530812500000025, Rtemp: 22.6, Depth: 76.62
Temperature: 33.54450000000003, Rtemp: 22.6, Depth: 76.58
Temperature: 33.552250000000015, Rtemp: 22.6, Depth: 76.53999999999999
Temperature: 33.529921875000014, Rtemp: 22.6, Depth: 76.38
Temperature: 33.542031250000036, Rtemp: 22.6, Depth: 76.64
Temperature: 33.5985, Rtemp: 22.6, Depth: 76.66
Temperature: 33.5985, Rtemp: 22.6, Depth: 76.47999999999999
Temperature: 33.59143750000004, Rtemp: 22.6, Depth: 76.42
Temperature: 33.62049999999999, Rtemp: 22.6, Depth: 76.3
Temperature: 33.6035, Rtemp: 22.6, Depth: 76.53999999999999
Temperature: 33.626007812500006, Rtemp: 22.6, Depth: 76.66
Temperature: 33.61506250000002, Rtemp: 22.6, Depth: 76.72
Temperature: 33.60849999999999, Rtemp: 22.6, Depth: 76.74
Temperature: 33.625257812500024, Rtemp: 22.6, Depth: 77.17999999999999
Temperature: 33.68312500000002, Rtemp: 22.6, Depth: 76.36
Temperature: 33.63259375000001, Rtemp: 22.6, Depth: 76.22
Temperature: 33.639500000000055, Rtemp: 22.6, Depth: 76.4
Temperature: 33.62950000000001, Rtemp: 22.6, Depth: 75.5
Temperature: 33.58125000000001, Rtemp: 22.6, Depth: 75.72
Temperature: 33.64387500000004, Rtemp: 22.6, Depth: 76.1
Temperature: 33.7831875, Rtemp: 22.6, Depth: 76.02000000000001
Temperature: 33.59925000000004, Rtemp: 22.6, Depth: 75.67999999999999
Temperature: 33.55280468750004, Rtemp: 22.6, Depth: 76.12
Temperature: 33.56675000000001, Rtemp: 22.6, Depth: 76.26
Temperature: 33.476312500000006, Rtemp: 22.6, Depth: 75.84
Temperature: 33.48671093749999, Rtemp: 22.6, Depth: 76.24
Temperature: 33.51243750000003, Rtemp: 22.6, Depth: 76.28
Temperature: 33.53331250000002, Rtemp: 22.6, Depth: 76.3
Temperature: 33.525000000000034, Rtemp: 22.6, Depth: 76.12
Temperature: 33.5641875, Rtemp: 22.6, Depth: 76.32000000000001
Temperature: 33.58575000000002, Rtemp: 22.6, Depth: 76.38
Temperature: 33.57650000000001, Rtemp: 22.6, Depth: 76.34
Temperature: 33.60200000000003, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 33.573000000000036, Rtemp: 22.6, Depth: 76.46000000000001
Temperature: 33.54181250000005, Rtemp: 22.6, Depth: 76.26
Temperature: 33.5451875, Rtemp: 22.6, Depth: 76.3
Temperature: 33.58518750000002, Rtemp: 22.6, Depth: 75.66
Temperature: 33.58487500000001, Rtemp: 22.6, Depth: 76.0
Temperature: 33.547750000000065, Rtemp: 22.6, Depth: 76.08
Temperature: 33.544375, Rtemp: 22.6, Depth: 76.44
Temperature: 33.55343750000003, Rtemp: 22.6, Depth: 76.06
Temperature: 33.588750000000005, Rtemp: 22.6, Depth: 76.62
Temperature: 33.52900000000005, Rtemp: 22.6, Depth: 76.16
Temperature: 33.600750000000005, Rtemp: 22.6, Depth: 77.38
Temperature: 33.56600000000003, Rtemp: 22.6, Depth: 78.22
Temperature: 33.585500000000025, Rtemp: 22.7, Depth: 78.22
Temperature: 33.35450000000003, Rtemp: 22.7, Depth: 78.38
Temperature: 33.407375, Rtemp: 22.7, Depth: 79.47999999999999
Temperature: 33.478687500000035, Rtemp: 22.7, Depth: 78.96000000000001
Temperature: 33.39650000000006, Rtemp: 22.7, Depth: 78.1
Temperature: 33.43603125000004, Rtemp: 22.7, Depth: 76.9
Temperature: 33.477250000000026, Rtemp: 22.7, Depth: 80.62
Temperature: 33.495250000000055, Rtemp: 22.7, Depth: 51.2
Temperature: 33.293085937499995, Rtemp: 22.6, Depth: 78.94
Temperature: 33.33963671875006, Rtemp: 22.6, Depth: 78.32000000000001
Temperature: 33.31, Rtemp: 22.6, Depth: 78.17999999999999
Temperature: 33.19475, Rtemp: 22.6, Depth: 78.76
Temperature: 33.24799999999999, Rtemp: 22.6, Depth: 79.4
Temperature: 33.26612499999999, Rtemp: 22.6, Depth: 79.9
Temperature: 33.28056250000003, Rtemp: 22.6, Depth: 78.96000000000001
Temperature: 33.21650000000005, Rtemp: 22.6, Depth: 78.36
Temperature: 33.26512500000001, Rtemp: 22.6, Depth: 79.3
Temperature: 33.283375000000035, Rtemp: 22.6, Depth: 78.97999999999999
Temperature: 33.33124218750004, Rtemp: 22.6, Depth: 78.3
Temperature: 33.58375000000001, Rtemp: 22.6, Depth: 80.14
Temperature: 33.58600000000001, Rtemp: 22.6, Depth: 80.46000000000001
Temperature: 33.55065625000003, Rtemp: 22.6, Depth: 78.4
Temperature: 33.60217187500001, Rtemp: 22.6, Depth: 77.82000000000001
Temperature: 33.53425000000004, Rtemp: 22.6, Depth: 78.12
Temperature: 33.568437500000016, Rtemp: 22.6, Depth: 78.03999999999999
Temperature: 33.561375000000055, Rtemp: 22.6, Depth: 78.14
Temperature: 33.511046875000034, Rtemp: 22.6, Depth: 77.72
Temperature: 33.49856250000005, Rtemp: 22.6, Depth: 78.84
Temperature: 33.40250000000003, Rtemp: 22.6, Depth: 79.86
Temperature: 33.42681250000004, Rtemp: 22.6, Depth: 80.82000000000001
Temperature: 33.335773437499995, Rtemp: 22.6, Depth: 81.7
Temperature: 33.27587500000004, Rtemp: 22.6, Depth: 79.86
Temperature: 33.14425, Rtemp: 22.6, Depth: 78.08
Temperature: 33.128625, Rtemp: 22.6, Depth: 77.82000000000001
Temperature: 33.14450000000005, Rtemp: 22.6, Depth: 78.03999999999999
Temperature: 33.168375000000026, Rtemp: 22.6, Depth: 77.4
Temperature: 33.15668750000003, Rtemp: 22.6, Depth: 76.96000000000001
Temperature: 33.18418750000001, Rtemp: 22.6, Depth: 77.08
Temperature: 33.168000000000006, Rtemp: 22.6, Depth: 77.36
Temperature: 33.18587500000001, Rtemp: 22.6, Depth: 77.03999999999999
Temperature: 33.16750000000002, Rtemp: 22.6, Depth: 77.32000000000001
Temperature: 33.21159375000002, Rtemp: 22.6, Depth: 77.26
Temperature: 33.123500000000035, Rtemp: 22.6, Depth: 76.82000000000001
Temperature: 33.18700000000001, Rtemp: 22.6, Depth: 77.08
Temperature: 33.103125000000034, Rtemp: 22.6, Depth: 77.06
Temperature: 33.107265625000025, Rtemp: 22.6, Depth: 77.44
Temperature: 33.121624999999995, Rtemp: 22.6, Depth: 77.26
Temperature: 33.28950000000003, Rtemp: 22.6, Depth: 77.0
Temperature: 33.23312500000003, Rtemp: 22.6, Depth: 77.14
Temperature: 33.164000000000044, Rtemp: 22.6, Depth: 76.82000000000001
Temperature: 33.02763281250003, Rtemp: 22.6, Depth: 76.8
Temperature: 33.069312500000024, Rtemp: 22.6, Depth: 76.96000000000001
Temperature: 33.05268749999999, Rtemp: 22.6, Depth: 77.02000000000001
Temperature: 33.05725000000001, Rtemp: 22.6, Depth: 76.78
Temperature: 33.04162500000001, Rtemp: 22.6, Depth: 76.36
Temperature: 32.96462500000001, Rtemp: 22.6, Depth: 76.32000000000001
Temperature: 32.961062500000025, Rtemp: 22.6, Depth: 75.86
Temperature: 33.08800000000002, Rtemp: 22.6, Depth: 75.52000000000001
Temperature: 33.00350000000003, Rtemp: 22.6, Depth: 75.26
Temperature: 32.991468750000024, Rtemp: 22.6, Depth: 74.7
Temperature: 33.014250000000004, Rtemp: 22.6, Depth: 74.92
Temperature: 33.02756249999999, Rtemp: 22.6, Depth: 75.1
Temperature: 33.006437500000004, Rtemp: 22.6, Depth: 74.64
Temperature: 32.9905, Rtemp: 22.6, Depth: 75.0
Temperature: 32.96953906250002, Rtemp: 22.6, Depth: 75.6
Temperature: 32.991343750000055, Rtemp: 22.6, Depth: 75.34
Temperature: 32.98425000000003, Rtemp: 22.6, Depth: 75.92
Temperature: 32.966929687500055, Rtemp: 22.6, Depth: 76.36
Temperature: 32.968875000000025, Rtemp: 22.6, Depth: 76.32000000000001
Temperature: 32.950328125000055, Rtemp: 22.6, Depth: 76.47999999999999
Temperature: 32.96750000000003, Rtemp: 22.6, Depth: 76.26
Temperature: 32.98887500000001, Rtemp: 22.6, Depth: 76.28
Temperature: 33.00206250000002, Rtemp: 22.6, Depth: 76.14
Temperature: 32.99643750000001, Rtemp: 22.6, Depth: 76.78
Temperature: 33.004312500000026, Rtemp: 22.6, Depth: 76.2
Temperature: 33.00137500000005, Rtemp: 22.6, Depth: 76.52000000000001
Temperature: 33.01231250000001, Rtemp: 22.6, Depth: 76.92
Temperature: 33.00625000000002, Rtemp: 22.6, Depth: 76.7
Temperature: 32.982320312500065, Rtemp: 22.6, Depth: 76.34
Temperature: 33.02175, Rtemp: 22.6, Depth: 75.94
Temperature: 33.088250000000016, Rtemp: 22.6, Depth: 76.1
Temperature: 33.06590625000001, Rtemp: 22.6, Depth: 76.16
Temperature: 33.084562500000004, Rtemp: 22.6, Depth: 76.12
Temperature: 33.103875000000016, Rtemp: 22.6, Depth: 76.12
Temperature: 33.07868750000006, Rtemp: 22.6, Depth: 76.08
Temperature: 33.04326953125002, Rtemp: 22.6, Depth: 75.44
Temperature: 33.099000000000046, Rtemp: 22.6, Depth: 75.38
Temperature: 33.09518750000001, Rtemp: 22.6, Depth: 75.84
Temperature: 33.12087500000001, Rtemp: 22.6, Depth: 75.78
Temperature: 33.090906250000046, Rtemp: 22.6, Depth: 76.0
Temperature: 33.11250000000001, Rtemp: 22.6, Depth: 75.78
Temperature: 33.07846093749998, Rtemp: 22.6, Depth: 75.17999999999999
Temperature: 33.12993750000004, Rtemp: 22.6, Depth: 74.97999999999999
Temperature: 33.122375000000034, Rtemp: 22.6, Depth: 74.97999999999999
Temperature: 33.17010156250001, Rtemp: 22.6, Depth: 75.24
Temperature: 33.153125000000045, Rtemp: 22.6, Depth: 75.0
Temperature: 32.95356250000003, Rtemp: 22.6, Depth: 73.8
Temperature: 33.122187499999995, Rtemp: 22.6, Depth: 72.3
Temperature: 33.145437500000014, Rtemp: 22.6, Depth: 72.08
Temperature: 33.07131250000003, Rtemp: 22.6, Depth: 72.86
Temperature: 33.33200000000005, Rtemp: 22.6, Depth: 74.64
Temperature: 33.091687500000035, Rtemp: 22.6, Depth: 45.0
